List of songs in Glee season one,,,,,,
Title,Version covered,Performed by,Episode,Single,Album[nb 1],season
"""Where Is Love?""",Oliver!,Hank Saunders and Sandy Ryerson,"1. ""Pilot""",No,N/A,1
"""Respect""",Aretha Franklin,Mercedes Jones,"1. ""Pilot""",No,N/A,1
"""Mister Cellophane""",Chicago,Kurt Hummel,"1. ""Pilot""",No,N/A,1
"""I Kissed a Girl""",Katy Perry,Tina Cohen-Chang,"1. ""Pilot""",No,N/A,1
"""On My Own""",Les Misérables,Rachel Berry,"1. ""Pilot""",Yes,The Complete Season One,1
"""Sit Down, You're Rockin' the Boat""",Guys and Dolls,Artie Abrams with New Directions,"1. ""Pilot""",No,N/A,1
"""Can't Fight This Feeling""",REO Speedwagon,Finn Hudson,"1. ""Pilot""",Yes,Volume 1,1
"""Lovin', Touchin', Squeezin'""",Journey,Young Finn Hudson and Darren,"1. ""Pilot""",No,N/A,1
"""You're the One That I Want""",Grease,Rachel Berry and Finn Hudson with New Directions,"1. ""Pilot""",No,N/A,1
"""Rehab""",Amy Winehouse,Vocal Adrenaline,"1. ""Pilot""",Yes,The Complete Season One,1
"""Leaving on a Jet Plane""[nb 2]",John Denver,Will Schuester,"1. ""Pilot"" (Directors cut only)",Yes,Volume 1,1
"""That's the Way (I Like It)""",KC and the Sunshine Band,McKinley High Glee Club – 1993,"1. ""Pilot""",No,N/A,1
"""(Shake, Shake, Shake)",KC and the Sunshine Band,McKinley High Glee Club – 1993,"1. ""Pilot""",No,N/A,1
"Shake Your Booty""",,,,,,1
"""Don't Stop Believin'""",Journey,Rachel Berry and Finn Hudson with New Directions,"1. ""Pilot""",Yes,Volume 1,1
"""Le Freak""",Chic,New Directions,"2. ""Showmance""",No,N/A,1
"""Gold Digger""",Kanye West feat. Jamie Foxx,"Will Schuester, Mercedes Jones and Artie Abrams with New Directions","2. ""Showmance""",Yes,Volume 1,1
"""All by Myself""",Eric Carmen,Emma Pillsbury,"2. ""Showmance""",No,N/A,1
"""Push It""",Salt-n-Pepa,New Directions,"2. ""Showmance""",Yes,The Complete Season One,1
"""I Say a Little Prayer""[nb 2]",Dionne Warwick,Quinn Fabray with Santana Lopez and Brittany Pierce,"2. ""Showmance""",Yes,Volume 1,1
"""Take a Bow""",Rihanna,Rachel Berry with Mercedes Jones and Tina Cohen-Chang,"2. ""Showmance""",Yes,Volume 1,1
"""For He's a Jolly Good Fellow""",Anon,Acafellas,"3. ""Acafellas""",No,N/A,1
"""This Is How We Do It""",Montell Jordan,Acafellas,"3. ""Acafellas""",No,N/A,1
"""Poison""",Bell Biv DeVoe,Acafellas,"3. ""Acafellas""",No,N/A,1
"""Mercy""",Duffy,Vocal Adrenaline,"3. ""Acafellas""",Yes,The Complete Season One,1
"""La Camisa Negra""",Juanes,Noah Puckerman (instrumental version only),"3. ""Acafellas""",No,N/A,1
"""Bust Your Windows""",Jazmine Sullivan,Mercedes Jones,"3. ""Acafellas""",Yes,Volume 1,1
"""I Wanna Sex You Up""[nb 2]",Color Me Badd,Acafellas,"3. ""Acafellas""",Yes,Volume 1,1
"""Single Ladies (Put a Ring on It)""[nb 3]",Beyoncé,Kurt Hummel with Tina Cohen-Chang and Brittany Pierce;,"4. ""Preggers""",No,N/A,1
,,McKinley High football team,,,,1
"""Taking Chances""",Céline Dion,Rachel Berry,"4. ""Preggers""",Yes,Volume 1,1
"""Tonight""",West Side Story,Tina Cohen-Chang,"4. ""Preggers""",No,N/A,1
"""Don't Stop Believin'""",Journey,Quinn Fabray and Finn Hudson with New Directions,"5. ""The Rhodes Not Taken""",No,N/A,1
"""Maybe This Time""",Cabaret,April Rhodes and Rachel Berry,"5. ""The Rhodes Not Taken""",Yes,Volume 1,1
"""Cabaret""",Cabaret,Rachel Berry,"5. ""The Rhodes Not Taken""",No,N/A,1
"""Alone""",Heart,April Rhodes and Will Schuester,"5. ""The Rhodes Not Taken""",Yes,Volume 1,1
"""Last Name""",Carrie Underwood,April Rhodes and New Directions,"5. ""The Rhodes Not Taken""",Yes,The Complete Season One,1
"""Somebody to Love""",Queen,New Directions,"5. ""The Rhodes Not Taken""",Yes,Volume 1,1
"""It's My Life/Confessions Part II""",Bon Jovi / Usher,New Directions males,"6. ""Vitamin D""",Yes,The Complete Season One,1
"""Halo/Walking on Sunshine""",Beyoncé / Katrina and the Waves,New Directions females,"6. ""Vitamin D""",Yes,The Complete Season One,1
"""Hate on Me""",Jill Scott,"Mercedes Jones, Tina Cohen-Chang","7. ""Throwdown""",Yes,Volume 1,1
,,and New Directions: Sue's Kids,,,,1
"""Ride wit Me""",Nelly feat. City Spud,New Directions,"7. ""Throwdown""",No,N/A,1
"""No Air""",Jordin Sparks and Chris Brown,Rachel Berry and Finn Hudson with New Directions,"7. ""Throwdown""",Yes,Volume 1,1
"""You Keep Me Hangin' On""",The Supremes,Quinn Fabray,"7. ""Throwdown""",Yes,Volume 1,1
"""Keep Holding On""",Avril Lavigne,New Directions,"7. ""Throwdown""",Yes,Volume 1,1
"""Bust a Move""",Young MC,Will Schuester and New Directions,"8. ""Mash-Up""",Yes,Volume 1,1
"""Thong Song""",Sisqó,Will Schuester,"8. ""Mash-Up""",Yes,The Complete Season One,1
"""What a Girl Wants""",Christina Aguilera,Rachel Berry,"8. ""Mash-Up""",No,N/A,1
"""Sweet Caroline""",Neil Diamond,Noah Puckerman with New Directions,"8. ""Mash-Up""",Yes,Volume 1,1
"""Sing, Sing, Sing (With a Swing)""[nb 3]",Louis Prima,Sue Sylvester and Will Schuester,"8. ""Mash-Up""",No,N/A,1
"""I Could Have Danced All Night""[nb 2]",My Fair Lady,Emma Pillsbury,"8. ""Mash-Up""",Yes,Volume 1,1
"""Dancing with Myself""",Generation X,Artie Abrams,"9. ""Wheels""",Yes,Volume 1,1
